vin,model,mfg_year,fuel_type
DJYYZPM1,Volvo VNL,2023,CNG
WO3C9SQD,Ashok Leyland Dost,2021,Diesel
Z18RAERP,Freightliner M2,2005,Diesel
48MTX9M9,Freightliner M2,2019,CNG
CQ2BDW1V,Freightliner M2,2011,LNG
POXOIINH,Ashok Leyland Dost,2011,CNG
1JLEOKOA,Ashok Leyland Dost,2025,CNG
MT32WO14,Volvo VNL,2010,CNG
QDEKZD4O,Isuzu N-Series,2015,Electric
BX5DIO2C,Tata Ultra,2012,Diesel
0WZ1FMFC,Freightliner M2,2005,LNG
TVOR13V7,Volvo VNL,2024,LNG
A3RZ1M01,Ashok Leyland Dost,2009,LNG
RMJO0CRS,Tata Ultra,2025,Diesel
JDBL9OZJ,Tata Ultra,2018,Electric
F6DVVJ7O,Tata Ultra,2013,CNG
37YXT85R,Tata Ultra,2017,CNG
ZKXGU9GQ,Volvo VNL,2012,LNG
L23F6IIS,Freightliner M2,2016,LNG
OV9PDK2C,Isuzu N-Series,2008,CNG
XWKX0TVZ,Ashok Leyland Dost,2021,Electric
JR74LBAN,Freightliner M2,2020,Diesel
VRS0IUK8,Freightliner M2,2017,CNG
CBKYOFBZ,Freightliner M2,2005,Diesel
Q4ZHRLPU,Tata Ultra,2013,LNG
GVL90NCR,Volvo VNL,2011,Electric
LKERXAS8,Freightliner M2,2019,Electric
K5XGCVCL,Ashok Leyland Dost,2025,CNG
AHAM6FUF,Freightliner M2,2010,LNG
OOJ5DMPP,Tata Ultra,2019,CNG
92SMP8HQ,Isuzu N-Series,2024,CNG
T1Y3PA66,Ashok Leyland Dost,2020,LNG
2PFVWKZD,Tata Ultra,2021,Diesel
UEVJY0VN,Freightliner M2,2007,Electric
M4Z9Y8XX,Isuzu N-Series,2005,Electric
PWFV83BK,Isuzu N-Series,2011,Electric
YDMK1JRG,Freightliner M2,2006,Diesel
WXL3L7EA,Isuzu N-Series,2021,Electric
WM4KYR6B,Volvo VNL,2025,Diesel
1FE92QB2,Ashok Leyland Dost,2006,Diesel
N9H7JE7A,Tata Ultra,2008,Diesel
6FYN3BZX,Tata Ultra,2023,LNG
YCO99X06,Tata Ultra,2019,LNG
WOQYL5L9,Freightliner M2,2025,LNG
ZG0175KD,Isuzu N-Series,2007,Electric
2GDA5LYO,Ashok Leyland Dost,2023,Electric
HZS2YWNZ,Isuzu N-Series,2015,CNG
986Y6QE1,Ashok Leyland Dost,2017,Diesel
PF8Q7MLG,Freightliner M2,2020,CNG
C7YOLPWU,Ashok Leyland Dost,2012,Diesel
BLJ3Y1XZ,Freightliner M2,2007,Electric
H4Q3ZLGW,Tata Ultra,2014,Diesel
ZCLP4C7H,Volvo VNL,2022,LNG
GZ869LT8,Isuzu N-Series,2005,Electric
8JXP88VZ,Ashok Leyland Dost,2005,Diesel
AOENRHIY,Ashok Leyland Dost,2005,CNG
AYG5QY7C,Ashok Leyland Dost,2018,Diesel
GRCZHLB2,Volvo VNL,2012,CNG
GTMYC2LF,Ashok Leyland Dost,2014,Electric
SFBN28NV,Tata Ultra,2015,CNG
ZF48DXH9,Isuzu N-Series,2007,CNG
BIWX55FO,Isuzu N-Series,2016,CNG
VRZLH9PA,Ashok Leyland Dost,2022,Diesel
RPQQ97GI,Tata Ultra,2013,LNG
S5AF3UIT,Isuzu N-Series,2012,Electric
FJTYERXA,Isuzu N-Series,2024,Electric
UN8T3EHT,Ashok Leyland Dost,2015,LNG
5M5N5OJ2,Freightliner M2,2005,Electric
IOBMLN0L,Ashok Leyland Dost,2007,LNG
YJ2BGR9S,Freightliner M2,2022,CNG
HYMS3JJP,Tata Ultra,2024,CNG
GHXMUOK3,Isuzu N-Series,2022,Diesel
LIL6DVJM,Tata Ultra,2011,Electric
3BPFGIEO,Tata Ultra,2016,LNG
RI4KAESJ,Volvo VNL,2006,LNG
7J51J4SC,Volvo VNL,2010,LNG
ACCAG0G6,Isuzu N-Series,2015,Diesel
9N7JXIIB,Ashok Leyland Dost,2015,Electric
OOYLHSHD,Tata Ultra,2007,Diesel
VLF31J5Y,Volvo VNL,2021,Electric
VCPJZ7CC,Volvo VNL,2009,Electric
WS8EPQ55,Ashok Leyland Dost,2005,Electric
4IUYRG9O,Freightliner M2,2025,Electric
CTDS2HJ4,Volvo VNL,2016,CNG
2SSV5C5B,Tata Ultra,2010,Diesel
QRIUZ4HH,Ashok Leyland Dost,2019,Electric
XL8JFYXS,Isuzu N-Series,2010,Electric
SIJC67RM,Volvo VNL,2024,CNG
SNDWD2NY,Isuzu N-Series,2011,LNG
8M4TGHWS,Ashok Leyland Dost,2005,LNG
6XTCI678,Ashok Leyland Dost,2018,Electric
N0FJUSU4,Isuzu N-Series,2011,LNG
3BH3ZEAF,Ashok Leyland Dost,2008,Diesel
H63A6Z9X,Tata Ultra,2020,CNG
9JSSHNHW,Ashok Leyland Dost,2007,LNG
S4C5QSME,Isuzu N-Series,2022,Electric
4SM25AO5,Isuzu N-Series,2024,Diesel
3VQT0TKI,Tata Ultra,2018,LNG
X7ICJ9RC,Ashok Leyland Dost,2008,Diesel
378SGZST,Volvo VNL,2019,Diesel
P71EJSLE,Isuzu N-Series,2018,Electric
JL2V3JHM,Volvo VNL,2016,LNG
NDXA6ZFE,Freightliner M2,2021,LNG
S91EN35U,Ashok Leyland Dost,2008,Diesel
80JIQ4NB,Tata Ultra,2021,LNG
70WU4A8U,Ashok Leyland Dost,2013,Electric
AP1AG6BL,Isuzu N-Series,2015,Diesel
ZMDVM9GO,Ashok Leyland Dost,2014,LNG
H029IW09,Isuzu N-Series,2025,CNG
T5BNHML7,Ashok Leyland Dost,2025,Electric
IPVIB7LE,Isuzu N-Series,2020,LNG
AW6U6R16,Volvo VNL,2024,LNG
IYJKOK5U,Isuzu N-Series,2009,Electric
QU916P3B,Freightliner M2,2025,CNG
3FEDZAHN,Tata Ultra,2012,LNG
N1O077TC,Volvo VNL,2013,Diesel
ZX0Q0G16,Volvo VNL,2012,LNG
XR2AOGHY,Isuzu N-Series,2012,LNG
LHO94BYS,Freightliner M2,2011,CNG
Y5K5EJ8K,Volvo VNL,2021,Electric
TNFWS3OM,Isuzu N-Series,2009,LNG
TZZWVNFA,Ashok Leyland Dost,2010,CNG
5TGT1RXF,Isuzu N-Series,2011,Diesel
JD365QAI,Tata Ultra,2015,LNG
NGFI0X9U,Volvo VNL,2008,CNG
41CZH6WB,Freightliner M2,2005,Diesel
MSMSQKB5,Freightliner M2,2007,CNG
STJH3QAM,Freightliner M2,2012,Diesel
6V1TLHDK,Isuzu N-Series,2022,Diesel
71E2LVAH,Isuzu N-Series,2014,LNG
MOABFR5T,Isuzu N-Series,2022,Electric
7QSPPGBK,Freightliner M2,2022,Electric
EN65SQEJ,Freightliner M2,2008,Electric
F2KUVGAJ,Tata Ultra,2021,Diesel
TAYRBPGD,Ashok Leyland Dost,2010,CNG
VMYX0XH0,Isuzu N-Series,2013,LNG
N8DPNWBP,Ashok Leyland Dost,2018,LNG
H0HYPNJW,Freightliner M2,2014,LNG
Y5LTZN5N,Tata Ultra,2016,LNG
67CJT4B7,Tata Ultra,2015,CNG
GOWCLQI0,Tata Ultra,2020,Electric
IQZUTZMN,Ashok Leyland Dost,2009,Electric
8W7MTRRC,Volvo VNL,2024,Diesel
QTY0EKI4,Freightliner M2,2010,Electric
JWP3PPF6,Ashok Leyland Dost,2016,Electric
KHKM9PP5,Freightliner M2,2010,Electric
GA0BOV0L,Freightliner M2,2025,CNG
OQLBVP1C,Ashok Leyland Dost,2015,CNG
5TXF9JQU,Volvo VNL,2025,LNG
Z9GD90D5,Volvo VNL,2021,CNG
DU2QYW0E,Isuzu N-Series,2016,LNG
STIMV2LN,Isuzu N-Series,2025,LNG
7ALL4L9Q,Ashok Leyland Dost,2013,LNG
XOI3VZZH,Freightliner M2,2018,CNG
TQB9L6DF,Freightliner M2,2008,Electric
Y4GCXW9N,Tata Ultra,2015,Electric
JA600KAD,Volvo VNL,2011,LNG
VGLS8CT7,Freightliner M2,2009,CNG
9YUAMTL5,Volvo VNL,2023,LNG
R1AWLPYI,Isuzu N-Series,2022,Electric
JKG0PO26,Freightliner M2,2010,LNG
T5TUIMBS,Freightliner M2,2013,Diesel
YWVOBNKN,Tata Ultra,2017,Diesel
3C9IN2F9,Volvo VNL,2013,Diesel
ZBMOTE0D,Volvo VNL,2022,Diesel
I4KWF0I7,Isuzu N-Series,2023,Electric
I0WMSA6W,Volvo VNL,2023,Electric
ECFCSAL0,Ashok Leyland Dost,2024,CNG
BG5XRGM7,Ashok Leyland Dost,2021,LNG
9ZISJPA9,Tata Ultra,2008,CNG
WKF4ZRV2,Freightliner M2,2013,Diesel
4O9WY0OO,Ashok Leyland Dost,2019,LNG
PYWV94U4,Ashok Leyland Dost,2009,LNG
T39VQU1J,Freightliner M2,2021,LNG
H6GNUJXY,Freightliner M2,2022,LNG
K70HEIZI,Tata Ultra,2010,Electric
N4IJ6XD1,Tata Ultra,2014,LNG
3M0T9IL0,Volvo VNL,2006,LNG
X8QVBMRJ,Isuzu N-Series,2020,Electric
TMTB9J6Q,Volvo VNL,2012,Diesel
RVNN4O0S,Isuzu N-Series,2008,CNG
US962RNS,Freightliner M2,2019,Electric
T0UBQWRU,Isuzu N-Series,2012,Diesel
79ECKS5P,Isuzu N-Series,2017,Electric
HUJC94BO,Tata Ultra,2021,LNG
8ZX44IFX,Freightliner M2,2009,Electric
0XH2H7F5,Isuzu N-Series,2012,Diesel
TCBMZMW5,Isuzu N-Series,2007,CNG
MRVAE7KB,Volvo VNL,2016,CNG
HCS8L1EO,Ashok Leyland Dost,2017,LNG
4NT0XTCV,Volvo VNL,2025,Diesel
7V5Z89XW,Volvo VNL,2007,CNG
GU2JEMP9,Ashok Leyland Dost,2020,CNG
45RIBHGF,Tata Ultra,2011,LNG
SQ34XY64,Volvo VNL,2022,Diesel
ZEKBX4J6,Volvo VNL,2010,LNG
EWWCFN31,Freightliner M2,2022,LNG
B4FDDYE2,Tata Ultra,2023,LNG
BV5OGFZZ,Volvo VNL,2016,LNG
6V70274D,Tata Ultra,2012,LNG
GK0ZXBDD,Tata Ultra,2015,Diesel
ZP8541EQ,Isuzu N-Series,2021,LNG
7GQ2YFTQ,Isuzu N-Series,2009,CNG
IIUV9ECK,Tata Ultra,2019,LNG
L50KCAR5,Freightliner M2,2019,LNG
SZ37LA7P,Ashok Leyland Dost,2017,CNG
YP61AS6E,Ashok Leyland Dost,2021,Diesel
K7JS7T0P,Tata Ultra,2010,LNG
IZ810Z38,Tata Ultra,2024,Diesel
CDGAC6EG,Freightliner M2,2021,Diesel
9R309JOM,Isuzu N-Series,2016,LNG
ZQ788P7W,Isuzu N-Series,2016,CNG
8R7U4JLY,Volvo VNL,2007,Diesel
I8FQ2ENO,Isuzu N-Series,2019,CNG
46G02KGI,Tata Ultra,2018,Electric
GIJ4IGP8,Freightliner M2,2019,CNG
X9R9XOYT,Freightliner M2,2019,LNG
KKEQ5AJK,Freightliner M2,2023,Electric
QTA56ZUA,Isuzu N-Series,2017,Electric
SD3DGQXQ,Tata Ultra,2017,LNG
TE1AVD5W,Isuzu N-Series,2010,CNG
RAN7WEUC,Volvo VNL,2008,CNG
1GPCFP2G,Isuzu N-Series,2011,LNG
PSM7DC8A,Volvo VNL,2020,Diesel
KGDLPVMK,Volvo VNL,2020,CNG
94N4JSP7,Tata Ultra,2024,LNG
2XFK2Y0A,Freightliner M2,2018,Diesel
0ZYEWGMF,Volvo VNL,2015,LNG
IF56V77W,Tata Ultra,2023,CNG
RCLIESOF,Tata Ultra,2025,CNG
IPW6BO7I,Tata Ultra,2010,LNG
NB311SNE,Isuzu N-Series,2011,LNG
WS91Y3F3,Tata Ultra,2008,LNG
MJUWKWIM,Tata Ultra,2012,LNG
IJW8HJKE,Ashok Leyland Dost,2023,Electric
8NBXHBEQ,Ashok Leyland Dost,2024,CNG
ED5ZDJI4,Tata Ultra,2015,CNG
Z2O2GJT6,Freightliner M2,2010,LNG
924CNLCC,Isuzu N-Series,2008,Electric
8DX5L9V2,Isuzu N-Series,2022,Diesel
8B0P43UA,Tata Ultra,2013,CNG
HK621OOF,Freightliner M2,2015,LNG
EB54EUU2,Ashok Leyland Dost,2009,CNG
N8KBAYYK,Volvo VNL,2018,CNG
XBFGAGFT,Isuzu N-Series,2008,Electric
CRCLYCMS,Freightliner M2,2008,LNG
8WSE6XPT,Ashok Leyland Dost,2012,Diesel
C2BIV8R6,Volvo VNL,2017,Electric
OWPA7ZXH,Volvo VNL,2016,Diesel
4HKOES2H,Isuzu N-Series,2015,Electric
AGJ5BL4R,Volvo VNL,2013,Electric
NDVA0RJ9,Tata Ultra,2025,LNG
O11XVMB0,Volvo VNL,2013,LNG
HUSN4TXQ,Volvo VNL,2012,LNG
Z21Z18NB,Tata Ultra,2007,CNG
121LKPB1,Freightliner M2,2018,CNG
Y6F41XPU,Freightliner M2,2011,LNG
N1ACB39P,Volvo VNL,2024,Electric
RWF4QBZ2,Freightliner M2,2012,LNG
6KCTZU3L,Isuzu N-Series,2014,Diesel
K21JQGVJ,Tata Ultra,2019,CNG
BKUY8TPC,Freightliner M2,2008,LNG
4PRSGQ9J,Freightliner M2,2020,Electric
EG72S1VK,Volvo VNL,2023,Electric
4UNNPB8B,Volvo VNL,2013,Diesel
EY1AFQCM,Ashok Leyland Dost,2013,Electric
4OPFYKYV,Ashok Leyland Dost,2020,CNG
4KQM3AYE,Freightliner M2,2014,CNG
5QASFQ79,Tata Ultra,2005,Electric
N8GG9TW5,Ashok Leyland Dost,2016,LNG
Y8WV9UG0,Volvo VNL,2011,Diesel
VBNEXMLE,Tata Ultra,2008,Diesel
58HMLNNW,Isuzu N-Series,2017,Electric
BCHIB4SG,Ashok Leyland Dost,2012,Diesel
HIZ550EM,Ashok Leyland Dost,2013,LNG
MT3DCSLA,Volvo VNL,2022,Electric
CMF2WFUT,Tata Ultra,2019,CNG
TC9ZEZKH,Tata Ultra,2025,Diesel
J0V29OOE,Tata Ultra,2024,CNG
OQA7Q170,Freightliner M2,2015,Diesel
24XMB6SI,Isuzu N-Series,2015,Electric
IV2SF3ET,Isuzu N-Series,2009,Electric
FUVXV0TM,Isuzu N-Series,2009,Electric
NHNVZ0RW,Volvo VNL,2017,LNG
FWJHU0G2,Ashok Leyland Dost,2019,CNG
YUD69PUP,Freightliner M2,2020,CNG
RZP0IIY4,Isuzu N-Series,2015,CNG
8EMHT21H,Volvo VNL,2007,Diesel
X20KBDYB,Tata Ultra,2024,CNG
WGGOG5EY,Isuzu N-Series,2011,Electric
KPAPDYSZ,Isuzu N-Series,2025,CNG
G4PQAESJ,Isuzu N-Series,2009,Electric
HOJMTO2V,Ashok Leyland Dost,2008,LNG
CMQSBLWX,Isuzu N-Series,2015,Diesel
BEK17TW2,Tata Ultra,2005,Electric
L0DHR0R2,Isuzu N-Series,2020,Diesel
GZFQ4HDR,Tata Ultra,2018,LNG
UIHUIT7Z,Ashok Leyland Dost,2006,Electric
0DJLZFO9,Freightliner M2,2024,CNG
W6DP9TBT,Tata Ultra,2011,LNG
9LF9GMVJ,Tata Ultra,2005,Electric
IZN4HIZX,Volvo VNL,2012,LNG
EA04DYN7,Freightliner M2,2008,LNG
P8EEHCPB,Ashok Leyland Dost,2018,Diesel
ZQ8BKDUU,Ashok Leyland Dost,2014,Diesel
7JVDQBLR,Volvo VNL,2024,LNG
G6VMM1DS,Volvo VNL,2008,CNG
KQSXPK6M,Freightliner M2,2015,CNG
CFHRL68R,Tata Ultra,2018,Electric
1ACG8J6W,Volvo VNL,2013,LNG
25SWK7RF,Isuzu N-Series,2011,LNG
U5KSNF77,Ashok Leyland Dost,2014,Electric
M8W3W91I,Ashok Leyland Dost,2009,Electric
HSRSXVIO,Ashok Leyland Dost,2013,LNG
INR5TLGQ,Volvo VNL,2008,Diesel
HDJEKCDT,Volvo VNL,2017,LNG
D5FIWPM0,Ashok Leyland Dost,2014,LNG
TJVMZ61W,Volvo VNL,2017,Diesel
Z2I03QIE,Volvo VNL,2015,Diesel
736BVWCE,Volvo VNL,2007,Electric
Z6HLMA15,Isuzu N-Series,2022,LNG
1WAT87KE,Isuzu N-Series,2024,Electric
9YNC79GW,Isuzu N-Series,2013,Electric
SY9C9I8I,Freightliner M2,2008,Electric
P8KW3PD6,Isuzu N-Series,2017,Diesel
XUYS8HWL,Tata Ultra,2016,CNG
DEPMJCVV,Volvo VNL,2017,LNG
7K6P02I6,Volvo VNL,2016,Diesel
OOYGF22S,Tata Ultra,2010,Diesel
PK441NAN,Isuzu N-Series,2010,CNG
LVZTSUIP,Isuzu N-Series,2011,CNG
O5M7BHE5,Tata Ultra,2019,CNG
LHYXI68R,Volvo VNL,2009,Electric
9KG9LYB9,Tata Ultra,2007,Diesel
4378LPZF,Ashok Leyland Dost,2009,Diesel
VYX0JBVG,Volvo VNL,2015,CNG
6355E6XS,Isuzu N-Series,2011,Diesel
2I8QUYQL,Volvo VNL,2022,CNG
FZLBVW0J,Volvo VNL,2015,Electric
ZGN0DO8D,Freightliner M2,2007,Electric
9PD33VJK,Ashok Leyland Dost,2018,Diesel
CLUG0MDP,Freightliner M2,2016,Diesel
6L50DBRJ,Ashok Leyland Dost,2006,CNG
9DNIR75U,Tata Ultra,2008,Diesel
I6Z6NY3W,Tata Ultra,2009,LNG
BMU65YPW,Volvo VNL,2021,CNG
9I0JEZ0F,Ashok Leyland Dost,2014,CNG
P2UZVTII,Ashok Leyland Dost,2019,CNG
1TAW9AN1,Isuzu N-Series,2013,Electric
HAPBMVW9,Isuzu N-Series,2015,CNG
74P8TVCK,Isuzu N-Series,2012,LNG
XZFRF69M,Freightliner M2,2016,Electric
227EBKP1,Isuzu N-Series,2023,LNG
7490TWKC,Tata Ultra,2012,Electric
6YXE7WEI,Ashok Leyland Dost,2014,LNG
KY4Q5H2Y,Volvo VNL,2019,LNG
3A44FHUY,Tata Ultra,2019,CNG
US1X83TA,Tata Ultra,2012,LNG
JOPH1HB3,Volvo VNL,2024,Diesel
04T7RCSW,Volvo VNL,2011,CNG
P0JA7JXK,Tata Ultra,2010,LNG
DO58Q2ZH,Ashok Leyland Dost,2011,LNG
RTKNYL5N,Isuzu N-Series,2024,CNG
VM0REFP5,Freightliner M2,2025,LNG
VY1AN9O6,Tata Ultra,2011,Electric
YR1118DR,Isuzu N-Series,2016,Diesel
0KUSDQSV,Freightliner M2,2022,Electric
GWMRHFZS,Ashok Leyland Dost,2020,Electric
6QB3JG8O,Ashok Leyland Dost,2011,Electric
6YBXCVXJ,Freightliner M2,2005,CNG
39AN7GQD,Volvo VNL,2010,CNG
EC8MYH4O,Freightliner M2,2006,Electric
7FJ3RDQA,Isuzu N-Series,2021,LNG
XQONZLMX,Tata Ultra,2018,Electric
FJY3QVJS,Ashok Leyland Dost,2005,Diesel
30PKRWUM,Isuzu N-Series,2020,Electric
S9R9PPBN,Isuzu N-Series,2014,Electric
4A49MX2H,Ashok Leyland Dost,2005,Electric
B1CSJNSC,Freightliner M2,2022,CNG
MN4DM1S4,Isuzu N-Series,2011,CNG
OXR87LT8,Volvo VNL,2014,CNG
JD25JR1V,Isuzu N-Series,2021,Diesel
3EZJHYAS,Tata Ultra,2012,CNG
LXC3U1IQ,Tata Ultra,2013,CNG
AIVRWXS7,Isuzu N-Series,2005,CNG
EBMKQM4R,Isuzu N-Series,2007,Diesel
AMG0MQM5,Tata Ultra,2018,LNG
U4AJ9SZI,Tata Ultra,2010,Diesel
EXKLLFE8,Volvo VNL,2007,Diesel
1NW2ZJ8P,Volvo VNL,2023,Electric
D3A7BLXB,Isuzu N-Series,2019,LNG
JBJZJ1FU,Isuzu N-Series,2021,CNG
H9L9TYXR,Volvo VNL,2009,LNG
XEHB1E9Z,Isuzu N-Series,2024,Electric
ZPT0JLZN,Isuzu N-Series,2018,Diesel
U9JBNSBL,Isuzu N-Series,2020,Electric
JIZ284IO,Volvo VNL,2014,Electric
624RNXOZ,Isuzu N-Series,2017,LNG
Z1ZBRLFL,Ashok Leyland Dost,2020,CNG
AXNE7M2F,Freightliner M2,2005,Diesel
C0MV9X1M,Freightliner M2,2015,CNG
R24SEPVC,Ashok Leyland Dost,2018,Diesel
K9DRCQBB,Isuzu N-Series,2014,Electric
FBHCOJGT,Volvo VNL,2005,CNG
VVZIV8SK,Freightliner M2,2011,Diesel
ZDI0HM9B,Volvo VNL,2009,Electric
CYW8AQ0V,Volvo VNL,2014,Electric
OMGKX9WB,Isuzu N-Series,2008,CNG
DNKGWK9G,Volvo VNL,2011,CNG
9AKTHYJU,Ashok Leyland Dost,2024,Diesel
WKY70YZA,Ashok Leyland Dost,2023,LNG
ZY4JVPRU,Ashok Leyland Dost,2009,CNG
5TWHLLZL,Volvo VNL,2011,CNG
MVAABOXU,Ashok Leyland Dost,2012,Electric
XLFE9BC5,Isuzu N-Series,2006,Diesel
K9ITPYWK,Volvo VNL,2010,Diesel
YMGS3B09,Volvo VNL,2024,Electric
