vin,model,mfg_year,fuel_type
YHY8WBC2,Volvo VNL,2023,LNG
5P9CL1II,Ashok Leyland Dost,2014,Electric
HKQ14UCF,Freightliner M2,2021,LNG
9UWHHXWP,Isuzu N-Series,2007,Diesel
AY0BCAJN,Ashok Leyland Dost,2021,Diesel
NR2CVOBF,Tata Ultra,2013,Electric
O11X35QF,Isuzu N-Series,2013,Electric
GQZTYZA9,Ashok Leyland Dost,2023,Electric
GTCUZJ0I,Ashok Leyland Dost,2008,CNG
9LJU5Y0N,Volvo VNL,2015,CNG
ASBXNQ6S,Volvo VNL,2023,Diesel
XR3EERB2,Volvo VNL,2015,CNG
65OVTP4Z,Volvo VNL,2007,CNG
88HAFDLH,Ashok Leyland Dost,2017,Diesel
H6J2F7I8,Volvo VNL,2023,CNG
I8PWE222,Freightliner M2,2021,LNG
XRT07OR4,Freightliner M2,2020,LNG
TU1JDKUW,Freightliner M2,2020,Diesel
B2D09X2K,Isuzu N-Series,2020,Diesel
7NS57OPU,Volvo VNL,2016,CNG
MJUR9OG0,Tata Ultra,2012,Diesel
77TYO905,Volvo VNL,2013,LNG
5X0SOL14,Isuzu N-Series,2006,CNG
O6VMOA6E,Tata Ultra,2022,Diesel
KXZKVGJJ,Ashok Leyland Dost,2021,Diesel
RZUYY4XI,Ashok Leyland Dost,2012,Diesel
DVICUB50,Isuzu N-Series,2025,Diesel
NWFFPPQQ,Volvo VNL,2025,Diesel
LJYB6W32,Ashok Leyland Dost,2014,CNG
8O4XXVOC,Freightliner M2,2020,LNG
WZUVZ5Y0,Tata Ultra,2013,Electric
MP7SPNS0,Ashok Leyland Dost,2019,Electric
RPASJN6M,Freightliner M2,2008,CNG
GQ7AWY3X,Ashok Leyland Dost,2021,CNG
OL0IFB14,Isuzu N-Series,2006,Diesel
9PJUDVO6,Tata Ultra,2023,CNG
VS845WX6,Volvo VNL,2011,LNG
J1M1F0N0,Isuzu N-Series,2011,Electric
UDCR5GS4,Tata Ultra,2021,LNG
PVCMGJL6,Tata Ultra,2007,Electric
CV8R0EHZ,Volvo VNL,2013,CNG
BZCLXSJ2,Tata Ultra,2023,Electric
6O3IKOPP,Volvo VNL,2020,Electric
P3RIORM0,Freightliner M2,2018,Electric
E2FXKNT1,Freightliner M2,2005,CNG
EIG8AEVZ,Isuzu N-Series,2019,LNG
PA08YPUZ,Freightliner M2,2008,LNG
2X9989TG,Ashok Leyland Dost,2015,CNG
YMP3Y360,Tata Ultra,2005,LNG
9GWF44HL,Isuzu N-Series,2006,LNG
D4IPVXIA,Isuzu N-Series,2013,Electric
W4DDDWCW,Isuzu N-Series,2021,LNG
EPCMYNJJ,Freightliner M2,2012,CNG
LR9U35W4,Freightliner M2,2017,Diesel
8OQYXHQ9,Tata Ultra,2006,Diesel
9ACHU1WK,Isuzu N-Series,2015,LNG
1DAWX1AI,Isuzu N-Series,2016,CNG
V0ARIJTD,Tata Ultra,2012,LNG
FMH3P4Y7,Freightliner M2,2014,Diesel
A00SF5PQ,Ashok Leyland Dost,2009,Electric
UMHGOORI,Ashok Leyland Dost,2013,LNG
TZV3YL0E,Freightliner M2,2019,LNG
AYYM73RR,Ashok Leyland Dost,2016,LNG
D6ARB7ZE,Ashok Leyland Dost,2012,LNG
470JZJW4,Ashok Leyland Dost,2006,Diesel
1GDW6E7A,Isuzu N-Series,2010,LNG
1G8RQGIM,Freightliner M2,2024,CNG
T7RWECSQ,Volvo VNL,2020,CNG
960HCEN8,Tata Ultra,2006,LNG
MRASH7Y4,Freightliner M2,2015,CNG
JNMJ9AUY,Ashok Leyland Dost,2012,Electric
F8U01PYU,Tata Ultra,2024,Electric
800HGS5H,Volvo VNL,2011,CNG
A4JBP37Q,Tata Ultra,2018,CNG
HWJ4D1LQ,Isuzu N-Series,2019,LNG
CPXTAUJG,Tata Ultra,2014,Electric
J7CPP6Q8,Volvo VNL,2011,LNG
DPIIY5I5,Freightliner M2,2007,LNG
SYMHLN60,Freightliner M2,2015,Electric
WD5PNVDH,Volvo VNL,2019,Diesel
5ZX383S1,Tata Ultra,2023,Electric
KDCMCMS8,Volvo VNL,2023,Diesel
PCGZ7GD0,Isuzu N-Series,2013,Electric
9O5ADE3S,Isuzu N-Series,2021,Electric
KV37ZRG0,Isuzu N-Series,2024,CNG
5WFWTVBM,Isuzu N-Series,2016,Electric
NU76DN11,Volvo VNL,2020,Electric
KOGQVD0T,Tata Ultra,2012,LNG
TPAT8EIR,Freightliner M2,2013,Electric
TRVZ8G2S,Isuzu N-Series,2024,LNG
I4T7P1DB,Volvo VNL,2014,Electric
LV1156KH,Freightliner M2,2006,Diesel
2MWAEGJY,Ashok Leyland Dost,2020,Diesel
3JNNRHKE,Freightliner M2,2023,CNG
0INHIX56,Isuzu N-Series,2010,Electric
2I3Z1CJS,Tata Ultra,2013,Diesel
0TA8M511,Isuzu N-Series,2006,CNG
MJMHCHY4,Ashok Leyland Dost,2018,Electric
L3HBAHO9,Isuzu N-Series,2008,LNG
SSZQY68O,Volvo VNL,2018,CNG
0QH23RSW,Freightliner M2,2020,CNG
WVE7VCC0,Volvo VNL,2013,Diesel
J1GQ6HS3,Tata Ultra,2014,CNG
MF0MJGLT,Freightliner M2,2014,LNG
R8PGCEPH,Freightliner M2,2008,Electric
FOTSFNL0,Freightliner M2,2016,Electric
D4AIL5PA,Ashok Leyland Dost,2018,CNG
AKQRIIH1,Isuzu N-Series,2011,Electric
LU9BBPKT,Volvo VNL,2019,Diesel
0TI6X0A3,Ashok Leyland Dost,2022,LNG
78OICNB8,Isuzu N-Series,2025,Diesel
EZN761YM,Ashok Leyland Dost,2024,Electric
0NFNUPXV,Ashok Leyland Dost,2007,Electric
0QHZSVF6,Tata Ultra,2006,LNG
BRZ971C5,Isuzu N-Series,2016,CNG
2DILROYG,Volvo VNL,2015,Diesel
W3XHLMUU,Ashok Leyland Dost,2018,LNG
IDQSBJ9D,Volvo VNL,2021,Diesel
8ECGG3SK,Isuzu N-Series,2009,CNG
D5TAZ6RZ,Tata Ultra,2025,Electric
YNTLIA05,Tata Ultra,2011,LNG
Y3J0K29L,Freightliner M2,2012,CNG
9099UD2Y,Tata Ultra,2019,CNG
K3WV745G,Isuzu N-Series,2019,CNG
PUDEVIOX,Volvo VNL,2015,Electric
Q3949B7Y,Volvo VNL,2015,Diesel
3NRBRX5M,Freightliner M2,2020,Diesel
Z57PZ7QD,Freightliner M2,2019,LNG
QG3DUFZK,Isuzu N-Series,2015,CNG
9JXUUETD,Volvo VNL,2021,LNG
M09FTC0G,Volvo VNL,2020,CNG
HEXLBMC1,Isuzu N-Series,2018,Diesel
13TAVUPS,Tata Ultra,2010,Electric
9WB5BYN7,Volvo VNL,2012,Electric
DCC9VBL1,Tata Ultra,2013,CNG
BJ5ZZV4X,Ashok Leyland Dost,2012,LNG
O09ARBW3,Tata Ultra,2011,Diesel
QJ58E47Q,Isuzu N-Series,2015,Diesel
H3RNBWB9,Freightliner M2,2014,Electric
K8JV5L3I,Volvo VNL,2013,CNG
UDRLMFTW,Tata Ultra,2009,CNG
MDQ390VQ,Isuzu N-Series,2006,CNG
FCDJA2OK,Isuzu N-Series,2007,CNG
J52MS9Q3,Freightliner M2,2008,Electric
MBL2NTZ2,Freightliner M2,2023,Electric
PBRXTMKF,Freightliner M2,2019,LNG
CT9PD9VW,Freightliner M2,2009,CNG
41YRPKY6,Ashok Leyland Dost,2009,Diesel
PPLYPJOI,Isuzu N-Series,2024,CNG
5CGODCHP,Freightliner M2,2011,LNG
7D7SA77I,Isuzu N-Series,2019,Diesel
A9APB5AS,Freightliner M2,2022,Electric
6C9RVKEI,Tata Ultra,2009,Diesel
YHN3ZU3F,Isuzu N-Series,2017,Diesel
7JZ9U2DW,Ashok Leyland Dost,2021,Electric
GCAHNQSP,Tata Ultra,2008,LNG
AGN4W5H8,Isuzu N-Series,2011,LNG
PGLYVMX3,Tata Ultra,2013,LNG
M4TWT7YF,Ashok Leyland Dost,2014,Electric
HC6JPCKF,Ashok Leyland Dost,2017,Electric
G3NPBLXG,Ashok Leyland Dost,2011,Diesel
JRF9ICLX,Tata Ultra,2015,Electric
LCRV6V0J,Freightliner M2,2023,Diesel
5A5757B6,Volvo VNL,2008,Diesel
4LHSYH60,Ashok Leyland Dost,2013,CNG
UERRU0A8,Isuzu N-Series,2018,Electric
JLF1ZRWZ,Volvo VNL,2017,Electric
UCQ7DAMF,Freightliner M2,2015,CNG
H65W63SN,Volvo VNL,2025,LNG
2FXBYSIS,Freightliner M2,2017,CNG
VO89X2W5,Volvo VNL,2023,Diesel
VOM57E8F,Isuzu N-Series,2009,Electric
UX756CD2,Volvo VNL,2023,Electric
HD52RW1A,Ashok Leyland Dost,2016,CNG
CL8M9HQV,Freightliner M2,2014,Electric
FMGVT6M7,Isuzu N-Series,2013,Diesel
M4EGEKR6,Volvo VNL,2006,CNG
009PYWS7,Ashok Leyland Dost,2016,Electric
P04M4A2D,Ashok Leyland Dost,2014,CNG
YPVN2RZP,Freightliner M2,2006,Electric
SHGHG4PX,Tata Ultra,2018,LNG
NMKR1XJM,Tata Ultra,2005,Diesel
KZVEVFCH,Freightliner M2,2013,Electric
D5AX5ZDM,Isuzu N-Series,2006,Diesel
OME9VLTU,Volvo VNL,2009,Electric
49TM09WA,Freightliner M2,2012,CNG
C9YMDBSQ,Isuzu N-Series,2023,Diesel
S75XZ7N2,Ashok Leyland Dost,2010,LNG
RV0E19VH,Isuzu N-Series,2009,LNG
02JO4P1F,Volvo VNL,2024,LNG
H0EOEDL3,Volvo VNL,2010,Diesel
MCTV8S7J,Freightliner M2,2009,CNG
RRCKN6VO,Ashok Leyland Dost,2022,LNG
EHI364OR,Volvo VNL,2014,LNG
AIK74XR7,Tata Ultra,2021,Electric
CXJA7VT0,Ashok Leyland Dost,2013,Electric
AQH5CGB7,Volvo VNL,2025,CNG
KVKFRFPU,Isuzu N-Series,2010,CNG
L42GGW5B,Ashok Leyland Dost,2009,Diesel
JZ8CAOTK,Freightliner M2,2017,CNG
QVYIFCW5,Volvo VNL,2008,LNG
JCB4WA7R,Tata Ultra,2010,Diesel
5MCF3JN5,Tata Ultra,2021,Electric
KQ0B1MVD,Volvo VNL,2018,Electric
9QNYXDNC,Tata Ultra,2011,CNG
9BEGI222,Freightliner M2,2021,Electric
U768AASZ,Ashok Leyland Dost,2012,Diesel
7FDIA9K3,Isuzu N-Series,2005,CNG
PRGTN7IZ,Freightliner M2,2025,Diesel
GP4J1O6X,Isuzu N-Series,2015,Electric
BEJA909R,Tata Ultra,2021,CNG
QXBACCA3,Isuzu N-Series,2018,Electric
2C81CQ5X,Tata Ultra,2010,LNG
J4EMG20A,Freightliner M2,2008,CNG
QHLUCR75,Volvo VNL,2024,Electric
2PVHA7WY,Tata Ultra,2021,Diesel
OWTBOU55,Freightliner M2,2006,Electric
0JEU4WS5,Ashok Leyland Dost,2020,Electric
I2UI7KQ9,Ashok Leyland Dost,2008,Diesel
U222L4MQ,Volvo VNL,2009,CNG
KVSHZ6L4,Ashok Leyland Dost,2023,Diesel
L3PJ05AH,Isuzu N-Series,2023,Electric
S3IY2VD0,Isuzu N-Series,2018,Diesel
M9NE5MC2,Isuzu N-Series,2019,CNG
31NK41G2,Volvo VNL,2005,LNG
NT7IWP3W,Isuzu N-Series,2022,Diesel
USDREFAK,Tata Ultra,2015,LNG
9K44T7SM,Isuzu N-Series,2012,LNG
7JM1AKPI,Volvo VNL,2018,Diesel
V4BN8M11,Isuzu N-Series,2019,CNG
YJ2U3UYR,Tata Ultra,2025,Electric
P3PZXT6E,Tata Ultra,2009,Diesel
TIP3U0RY,Volvo VNL,2023,Diesel
LVQPD2KK,Tata Ultra,2021,Electric
CAPNUUCM,Volvo VNL,2009,CNG
M5X247P2,Volvo VNL,2006,Electric
MC21VB6Z,Isuzu N-Series,2024,Diesel
AYUNS7DN,Ashok Leyland Dost,2006,Electric
S2KE7Z4Y,Isuzu N-Series,2013,CNG
0RICBUQW,Isuzu N-Series,2009,CNG
UJ03GVU8,Ashok Leyland Dost,2016,CNG
57J3XN0I,Ashok Leyland Dost,2016,Electric
XZNYBT3W,Tata Ultra,2012,Electric
OHEDPRKT,Freightliner M2,2010,CNG
HHJ71PWP,Isuzu N-Series,2023,CNG
RM9HGXUR,Freightliner M2,2024,Electric
5CKXHAVS,Volvo VNL,2018,CNG
IXZ0X0Q2,Ashok Leyland Dost,2023,Diesel
59NR3E8W,Isuzu N-Series,2014,Diesel
TY1C3ASW,Volvo VNL,2005,CNG
NZYNEWS1,Ashok Leyland Dost,2013,LNG
JYLRGMLQ,Volvo VNL,2011,Electric
E9URU7IQ,Isuzu N-Series,2020,Electric
BCVMJA96,Isuzu N-Series,2015,CNG
YNRUUP61,Ashok Leyland Dost,2023,Electric
QCTRFRRA,Ashok Leyland Dost,2021,CNG
A8GD0VL5,Freightliner M2,2011,CNG
SC5M4B8T,Volvo VNL,2013,Electric
8A9MEHLC,Freightliner M2,2017,Diesel
OI7MJCJ2,Isuzu N-Series,2017,Electric
8NVCM83G,Isuzu N-Series,2010,Electric
8AUJVDAR,Isuzu N-Series,2025,Electric
CWTXP2NB,Isuzu N-Series,2022,Diesel
3K0PVL7K,Isuzu N-Series,2010,CNG
KCKVLMU5,Ashok Leyland Dost,2019,CNG
W5ESY0AT,Ashok Leyland Dost,2007,CNG
S2UZV6BY,Volvo VNL,2020,LNG
FRURUHRL,Volvo VNL,2021,CNG
SVBDOIED,Isuzu N-Series,2016,LNG
BHVC2ZAN,Volvo VNL,2014,Electric
9X9JPU5Q,Volvo VNL,2015,LNG
WGLW11MY,Volvo VNL,2010,Diesel
NLRGJNH9,Tata Ultra,2014,Diesel
S4YM88XP,Ashok Leyland Dost,2005,CNG
SYRI9J4P,Isuzu N-Series,2023,CNG
NCLGGHGL,Isuzu N-Series,2017,LNG
KY9PXLR4,Freightliner M2,2015,Electric
NX6VADYL,Isuzu N-Series,2022,CNG
02L8EERD,Volvo VNL,2021,LNG
B1O74YVP,Volvo VNL,2025,CNG
ALE1ZEQ9,Isuzu N-Series,2021,Diesel
B46UPU0H,Freightliner M2,2023,LNG
UCUA989M,Isuzu N-Series,2018,Electric
VF9YIIKO,Tata Ultra,2024,Diesel
CFCQJD9T,Isuzu N-Series,2021,Diesel
125XI9KX,Freightliner M2,2006,CNG
SMNB30S8,Ashok Leyland Dost,2018,LNG
5PI2U5J2,Isuzu N-Series,2009,Diesel
GIZ9QFK0,Freightliner M2,2008,CNG
VAT09X1U,Isuzu N-Series,2018,Electric
NVM5FTOC,Volvo VNL,2018,Electric
OWZ16M54,Isuzu N-Series,2015,Diesel
J7ZPFUU5,Isuzu N-Series,2011,CNG
KF984K9Y,Freightliner M2,2009,LNG
BKCX1ZNY,Isuzu N-Series,2018,LNG
ZU7KN2C3,Tata Ultra,2019,Electric
3FZP8UJJ,Tata Ultra,2014,LNG
RH22PPJO,Tata Ultra,2009,Electric
A52MWX2H,Ashok Leyland Dost,2025,Diesel
VQV4XIWI,Freightliner M2,2016,CNG
EXOFJ5I3,Volvo VNL,2023,LNG
W8GY1ZLO,Freightliner M2,2022,CNG
5N50HDYF,Freightliner M2,2005,LNG
WBCZU7FK,Isuzu N-Series,2023,Electric
X2XC2SR1,Ashok Leyland Dost,2012,CNG
DCZ0M0B7,Volvo VNL,2014,Electric
SJX93JQK,Freightliner M2,2024,LNG
1X22AZ0T,Ashok Leyland Dost,2018,Diesel
Z46HG5R2,Isuzu N-Series,2025,LNG
FD9R2L28,Ashok Leyland Dost,2022,Diesel
TRL9Q2JL,Isuzu N-Series,2005,Electric
CTVGG1FJ,Volvo VNL,2018,Diesel
H6OLDQ0A,Volvo VNL,2018,CNG
WDWQKTV1,Ashok Leyland Dost,2023,Diesel
5WUJYANE,Freightliner M2,2021,CNG
4160QJIH,Tata Ultra,2025,LNG
CQ8NIA0G,Isuzu N-Series,2012,CNG
3GYZ0CO3,Freightliner M2,2015,Diesel
1USM2BZ0,Ashok Leyland Dost,2023,LNG
K6PPA3UJ,Tata Ultra,2012,Diesel
LDNZO64I,Isuzu N-Series,2023,CNG
GBFG8VMK,Ashok Leyland Dost,2020,CNG
DK8S1BLR,Ashok Leyland Dost,2015,Electric
KRDPBIID,Ashok Leyland Dost,2019,Electric
RVW5LYVC,Volvo VNL,2013,Diesel
FGHDJKYU,Ashok Leyland Dost,2019,CNG
HS3M79XB,Volvo VNL,2013,CNG
427MRNVC,Tata Ultra,2012,CNG
07DQWNGC,Ashok Leyland Dost,2011,Diesel
6IFEO5NM,Volvo VNL,2013,LNG
LNRVEY2P,Ashok Leyland Dost,2024,LNG
UECM2H1K,Tata Ultra,2007,LNG
BWLRDGY9,Freightliner M2,2009,CNG
6CE7GAQQ,Isuzu N-Series,2020,LNG
PGO6TI8K,Isuzu N-Series,2008,CNG
R951EL8A,Freightliner M2,2023,Electric
TLBE0UF0,Isuzu N-Series,2021,LNG
KNXL0QE7,Ashok Leyland Dost,2009,Electric
STCYML6G,Tata Ultra,2005,Diesel
J0WRD09K,Freightliner M2,2007,Electric
5Z5BPUZO,Volvo VNL,2007,Electric
XJVEZWDX,Volvo VNL,2007,Diesel
OFMRC0K9,Freightliner M2,2018,Diesel
1MRDOT3G,Tata Ultra,2006,LNG
G9AZFG7L,Freightliner M2,2013,LNG
707W4IGK,Isuzu N-Series,2021,Diesel
HAH1SX3M,Volvo VNL,2023,Diesel
VZ95ZUHH,Isuzu N-Series,2018,LNG
UI67KPLB,Volvo VNL,2009,LNG
SZ5JRT5D,Volvo VNL,2010,LNG
O9Q2WMGG,Volvo VNL,2022,LNG
EDSQTSMT,Tata Ultra,2010,Diesel
EHKDZH22,Freightliner M2,2015,Diesel
PLARE2PP,Ashok Leyland Dost,2021,CNG
9W1FMTP6,Isuzu N-Series,2017,LNG
A2Y4BD97,Freightliner M2,2017,Diesel
AT122AFX,Ashok Leyland Dost,2025,Electric
U3RJ5BUT,Tata Ultra,2007,CNG
NTPT311A,Ashok Leyland Dost,2009,Electric
N3PRB7OD,Ashok Leyland Dost,2005,CNG
S3ICRUKU,Volvo VNL,2012,Electric
56TD503V,Ashok Leyland Dost,2011,Diesel
T7LV8KVY,Tata Ultra,2017,Diesel
FCZDNTJA,Isuzu N-Series,2007,Electric
WN0CF726,Volvo VNL,2021,CNG
47YIT6DS,Freightliner M2,2018,Diesel
9VYUBPNQ,Tata Ultra,2023,CNG
7MTYAFOC,Isuzu N-Series,2009,LNG
5QBWWH0D,Volvo VNL,2008,LNG
T556X7KL,Volvo VNL,2025,Diesel
70BTJV2E,Tata Ultra,2021,Diesel
TK36B2AV,Volvo VNL,2011,Diesel
M2RZG44D,Freightliner M2,2011,LNG
YY702D0W,Tata Ultra,2007,Diesel
RLZ864X8,Volvo VNL,2017,CNG
0UR4UE93,Isuzu N-Series,2017,Electric
6UJFDDOG,Volvo VNL,2006,LNG
L928U6CM,Freightliner M2,2009,LNG
A8OJTZRL,Freightliner M2,2012,Electric
VG2OVF3P,Volvo VNL,2018,LNG
7SGX0J83,Isuzu N-Series,2021,LNG
05QDEAUI,Tata Ultra,2009,LNG
F9DKJRS7,Volvo VNL,2015,LNG
1ZEAZ20T,Freightliner M2,2022,LNG
ZCSBLWAH,Isuzu N-Series,2010,Diesel
HL9BHVI1,Isuzu N-Series,2021,Diesel
P3FKAK4G,Isuzu N-Series,2012,CNG
YDT7FMO4,Ashok Leyland Dost,2006,Diesel
Y8DO0BFQ,Tata Ultra,2009,Electric
J4LPXAWE,Isuzu N-Series,2025,LNG
QHQV335Q,Ashok Leyland Dost,2025,LNG
CI7BRV4L,Tata Ultra,2018,LNG
XSX16QOT,Freightliner M2,2008,Electric
1G7S75TF,Freightliner M2,2012,CNG
6HGCHCSU,Ashok Leyland Dost,2014,LNG
IWC84FST,Ashok Leyland Dost,2019,Diesel
PW8SQOGV,Isuzu N-Series,2007,CNG
WMXYGTEE,Ashok Leyland Dost,2016,Electric
8II86Y8N,Isuzu N-Series,2017,Diesel
2FLQ72LU,Isuzu N-Series,2005,Diesel
740RN3GC,Tata Ultra,2006,Electric
L2BZDLXU,Volvo VNL,2007,CNG
VBM6QP9Y,Ashok Leyland Dost,2005,LNG
DXEH7Y47,Freightliner M2,2010,CNG
2UV42GE7,Ashok Leyland Dost,2022,Electric
70SWENEH,Tata Ultra,2006,LNG
4C3P99RZ,Ashok Leyland Dost,2015,Diesel
SAV9MKCY,Isuzu N-Series,2021,Electric
NUT3WAP8,Ashok Leyland Dost,2023,Electric
AL2OF6YW,Freightliner M2,2015,CNG
9U5RC9E9,Isuzu N-Series,2017,Electric
6U4BP540,Tata Ultra,2022,Diesel
0G85G337,Tata Ultra,2008,Electric
Q93P3RRE,Tata Ultra,2011,Electric
43Z6DHLJ,Volvo VNL,2017,LNG
3ZGIO6EC,Volvo VNL,2024,LNG
NNYP840G,Tata Ultra,2012,LNG
9DAYEV50,Isuzu N-Series,2018,CNG
5A4PTJMN,Tata Ultra,2011,Diesel
67E5Q3ON,Volvo VNL,2006,Electric
YW4LN3P1,Volvo VNL,2013,Electric
T7HQJF14,Tata Ultra,2019,Diesel
0WDOVM9D,Tata Ultra,2011,Electric
3MN0APUW,Tata Ultra,2011,CNG
MEVJLI79,Ashok Leyland Dost,2006,CNG
9QISNL73,Freightliner M2,2025,CNG
20UJKSNE,Freightliner M2,2010,LNG
V69XDN3D,Ashok Leyland Dost,2005,CNG
JSB2DYJ6,Tata Ultra,2019,Diesel
NDMZKFQR,Isuzu N-Series,2019,LNG
MHDIZFGK,Tata Ultra,2009,CNG
2PTTN6DE,Freightliner M2,2012,Electric
Y1QV2Z36,Ashok Leyland Dost,2021,LNG
VLRZC2PN,Ashok Leyland Dost,2009,Electric
K2R3ZQY6,Tata Ultra,2017,Diesel
WGS14DGR,Tata Ultra,2005,Electric
NBX5T3TQ,Tata Ultra,2019,Diesel
6XJIZC9S,Isuzu N-Series,2014,Electric
14RQ0161,Ashok Leyland Dost,2008,LNG
TW5EO7X5,Freightliner M2,2013,LNG
HOX1H35R,Freightliner M2,2018,LNG
9YY2N8MT,Volvo VNL,2021,Diesel
BVUMK8H9,Freightliner M2,2020,Diesel
G2DMA9J1,Tata Ultra,2021,Electric
DF8LAKWB,Tata Ultra,2010,LNG
33640H5J,Volvo VNL,2013,Electric
PWUY25IK,Tata Ultra,2005,Diesel
LL8Q8NJC,Ashok Leyland Dost,2012,CNG
IWJZMDMD,Volvo VNL,2022,Diesel
GAMUTOT0,Tata Ultra,2006,Diesel
KGUGTMQD,Volvo VNL,2021,CNG
K60QS4OL,Volvo VNL,2009,LNG
HWIFDYY0,Freightliner M2,2014,Electric
B7I7PJ5R,Volvo VNL,2021,Diesel
MCSQNJ4F,Freightliner M2,2006,Diesel
64M7VI9H,Freightliner M2,2012,Electric
O4L107YN,Volvo VNL,2010,LNG
676DGAKF,Volvo VNL,2013,Electric
UUK8538P,Freightliner M2,2012,CNG
O8GN5LW4,Freightliner M2,2005,LNG
C3J8P6NZ,Tata Ultra,2017,Diesel
GALYZ0EW,Freightliner M2,2015,LNG
7YK0VG47,Freightliner M2,2024,LNG
MCJH9PHD,Isuzu N-Series,2016,Electric
O81HQD5H,Freightliner M2,2008,LNG
B0RKAFOG,Freightliner M2,2025,Electric
JLWE1RD3,Freightliner M2,2006,LNG
12PYS6NU,Isuzu N-Series,2005,Electric
ISQ1NYJS,Freightliner M2,2016,Electric
IGL8BSHL,Tata Ultra,2009,CNG
W7JZG5YT,Ashok Leyland Dost,2022,CNG
4DZ8VS9A,Tata Ultra,2008,LNG
PE5WPAH8,Volvo VNL,2017,Diesel
WEZ2Q3QT,Volvo VNL,2011,CNG
NGOE54RN,Tata Ultra,2024,Electric
28O5M0DX,Isuzu N-Series,2009,LNG
VTIR0RGX,Tata Ultra,2022,LNG
CC4JRMEQ,Volvo VNL,2014,Diesel
6WEA6QCF,Ashok Leyland Dost,2005,Electric
ZB9OOG32,Tata Ultra,2008,Electric
OV9BUQIC,Isuzu N-Series,2021,LNG
KKHT26A1,Isuzu N-Series,2011,LNG
ID84E0IA,Tata Ultra,2008,Electric
7IM3XWW1,Isuzu N-Series,2016,Electric
BMKYTRWE,Volvo VNL,2005,LNG
EIIODON9,Volvo VNL,2014,Electric
PIC75DEW,Tata Ultra,2012,Electric
DMTLG7B9,Ashok Leyland Dost,2014,Diesel
BPESIIYX,Tata Ultra,2019,Diesel
DQKS7UD1,Isuzu N-Series,2020,LNG
22N1HK4T,Tata Ultra,2009,CNG
ISVW89TJ,Isuzu N-Series,2009,Electric
TTWVNDKX,Volvo VNL,2018,Diesel
DY0SK9HJ,Isuzu N-Series,2008,Diesel
7YWC2HA8,Freightliner M2,2016,LNG
UT9W8GTJ,Volvo VNL,2012,Electric
